Manuscript Identifier	COI	Funding
PONE-D-15-13778	"The authors of this manuscript have read the journal's policy and have the following competing interests: Neurodyn Inc. holds a patent on the use of BSSG to model Parkinson's disease in rodents (US 8497123 B2). Although JVK, DB, and DK are employees of Neurodyn Inc., which holds a patent on the use of BSSG to model Parkinson’s disease in rats, this does not alter the authors' adherence to PLOS ONE policies on sharing data and materials."	"This work was supported, in part, by the Atlantic Canada Opportunities Agency (www.acoa-apeca.gc.ca/Eng/Pages/Home.aspx) who had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript. Neurodyn Inc. provided support in the form of salaries for JVK, DB, and DK, but did not have any additional role in the study design, data collection and analysis, decision to publish, or preparation of the manuscript. The specific roles of these authors are articulated in the ‘author contributions’ section."
PONE-D-15-13811	The authors have declared that no competing interests exist.	"This work was supported by SC grant number EY021585 from National Eye Institute (https://www.nei.nih.gov) of the National Institutes of Health (NIH)(http://www.nih.gov/); SC grant number EY11654 from National Institutes of Health (http://www.nih.gov/); RR grant number EY023628 from National Institutes of Health (http://www.nih.gov/) and P30-CAOO6973 (LC) from the National Institute of Health. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-13815	The authors have declared that no competing interests exist.	"This work has been supported by grants from Les Turner ALS Foundation (PHO), Wenske Foundation (PHO), National Institute of Health RO1NS085161-01 and R21NS085750 (PHO), and National Institute of Health Mechanisms of Aging and Dementia training grant 5T32AG020506-09 (BG). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-13839	The authors have declared that no competing interests exist.	"JHC was supported by grants from Ministry of Science and Technology (NSC 101-2320-B-010 -051 -MY3). The funder had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-13854	The authors have declared that no competing interests exist.	"This work was supported by the fund of Korea Food Research Institute (ER142023887), Republic of Korea. HRK YAL YHK DGL BJK KJK BGK MGO CKH SL BYR received the funding above for this work. MGO was supported by the Excellent Student Scholarship 2015 (CAU2015) from Chung-Ang University, Republic of Korea. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-13863	The authors have declared that no competing interests exist.	"This work was supported by the French National Research Agency (www.agence-nationale-recherche.fr/) (Agence Nationale de la Recherche, Programme Microbiologie, Immunologie et Maladies Emergentes, grant ANR-07-MIME-021-0, Project Rosettes, PIs OMP and GAB), which supported a fellowship to A. J. The research leading to these results has received funding from the European Community's Seventh Framework Programme (FP7/2007-2013) under grant agreement N° Evimalar 242095. OMP is a member of the Evimalar Network of Excellence (www.evimalar.org). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript. "
PONE-D-15-13888	The authors have declared hat no competing interests exist.	"Funded by The Cooperation Project from the Technical Institute of Physics and Chemistry, CAS (Grant No. LHS- DBSW2013-01). "
PONE-D-15-13901	"ADJ is employed by a commercial company, IGENOMIX and his affiliation to this company does not alter the authors' adherence to any PLOSONE policies on sharing data and materials."	"NAG acknowledges a fellowship from Erasmus Mundus Eurotango Program. ADJ acknowledges support from Ramon y Cajal Program (RYC-2008-02378). PS acknowledges support from PI10/743, PI13/414 grants and Miguel Servet I3SNS Program (ISCIII). IGENOMIX provided support in the form of salaries for author ADJ, but did not have any additional role in the study design, data collection and analysis, decision to publish, or preparation of the manuscript. The specific roles of this author are articulated in the ‘author contributions’ section."
PONE-D-15-13906	All authors are present or former employees of NBE-Therapeutics Ltd. RBE and UG hold stocks of NBE-Therapeutics Ltd. This work has been included in a patent application by NBE-Therapeutics Ltd. This does not alter the authors' adherence to all the PLOS ONE policies on sharing materials and data. The authors have no additional financial interests.	"NBE-Therapeutics AG provided support in the form of salaries for authors R.R.B., T.H., A.S.M. and U.G., but did not have any additional role in the study design, data collection and analysis, decision to publish, or preparation of the manuscript. The specific roles of these authors are articulated in the ‘author contributions’ section."
PONE-D-15-13925	"UL is co-founder and executive director at Acquifer AG. There are no patents, products in development, or marketed products to declare. This does not alter the authors' adherence to all the PLOS ONE policies on sharing data and materials."	"This work was supported by a Helmholtz joint project initiative between KIT and DKFZ (CW), Marie Curie International Reintegration Grant within the 7th European Community Framework Program (PIRG07-GA- 2010-267552), and the Heidelberg-Karlsruhe Research Bridge (HeiKa) (synthetic biology platform) (CG). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-13930	The authors have declared that no competing interests exist.	"This research was supported by a grant funded from the National Key Basic Research Development Program (973 Program) and by a project funded by the Ministry of Science and Technology of People's Republic of China (Project name: Basic research of congenital heart disease formation, development and intervention; Grant Recipient: Shengshou Hu; Grant Number: 2010CB529507; [http://www.most.gov.cn/])."
PONE-D-15-13942	The authors have declared that no competing interests exist.	"This work was supported by the Spanish Ministry of Science and Innovation (MICINN) and The Spanish National Research Council (CSIC) under the projects MAT2012-38645 and 201360E012 respectively. B. Cabal acknowledges financial support from JAE-Doc program (CSIC, cofounded by FSE). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-13953	"M.L.N.G. Malbrain is a member of the medical advisory board of Pulsion Medical Systems. Drs.: L. Correa-Martín, E. Párraga, F.M. Sánchez-Margallo, R. Latorre, O. López-Albors, R. Wise and G. Castellanos declared that no competing interests exist. This does not alter the authors' adherence to PLOS ONE policies on sharing data and materials."	"This work was supported by one grant from Extremadura Regional Government through the Plan Regional de Investigación de Extremadura (PRI09A161 to Minimally Invasive Surgery Center Jesús Usón). The funder had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-13956	The authors have declared that no competing interests exist.	"This work was supported in part by a Grant-in-Aid for Scientific Research (B) (23390263) and (15H04867) from the Ministry of Education, Culture, Sports, Science and Technology of Japan, and by the Research Program on Emerging and Re-emerging Infectious Diseases from Japan Agency for Medical Research and Development, AMED.   "
PONE-D-15-13966	The authors have declared that no competing interests exist.	"The investigations were supported by grants from Fondation Avenir n°ET3-713, Institut de France n°R13098BB and Institut des Sciences du Cerveau de Toulouse. BD was supported by a doctoral fellowship Midi-Pyrénées Région and COMUE n°RA12P0110. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-13967	The authors have declared that no competing interests exist.	"This work was funded by a programme grant from the British Heart Foundation RG/06/005. The Manchester X-ray Imaging Facility was funded in part by the EPSRC (grants EP/F007906/1, EP/F001452/1 and EP/I02249X/1). The Bioimaging Facility microscopes used in this study were purchased with grants from the Biotechnology and Biological Sciences Research Council, Wellcome Trust and the University of Manchester Strategic Fund. TN was funded by the Manchester Biomedical Research Centre. RSS was funded by the Alder Hey Children's NHS Foundation Trust. GH held the David A. Price Evans Chair of Medicine at the University of Liverpool during the course of this work.  "
PONE-D-15-13968	The authors have declared that no competing interests exist.	The study was supported by funds from the Canadian Institutes of Health Research. 
PONE-D-15-13969	The authors have declared that no competing interests exist.	"This research was supported by: Fundação de Amparo a Pesquisa do Estado de São Paulo, grant 2006/54699-1, led by FRG, and grants 2008/01917-7 and 2010/16804-3, led by BTJ; Fundação de Amparo a Pesquisa do Estado de São Paulo (website: http://www.fapesp.br/). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-13979	The authors have declared that no competing interests exist.	"The current work was funded by The Swedish Research Council (Vetenskapsrådet,  http://www.vr.se/), K2015-65X-22662-01-3 (KS) and K2013-99X-22245-01-5 (SA); European Union Marie Curie Initial Training Network SMARTER (http://www.smallartery.eu/) (KKK); National Institutes of Health (http://www.nih.gov/), HL-117907 (JMM); Crafoord Foundation (http://en.crafoord.se/) (CR and ME); Heart and Lung foundation (Hjärt-lungfonden, http://www.hjart-lungfonden.se/) 20130451, 20120382, 20120298 (SA); and the Royal Physiographic Society (Kungliga Fysiografiska Sällskapet, http://www.fysiografen.se/) (SA,CR,ME)."
PONE-D-15-13986	The authors have declared that no competing interests exist.	"This work was supported by the NIH grant RO1CA059705 to PR, the PCF Young Investigator Award and Icahn School of Medicine Cancer Research Funds awarded to DJM."
PONE-D-15-13990	The authors have declared that no competing interests exist. 	"Funding provided by National Institutes of Health, 5R01HL068035, http://www.nih.gov/, PI: GCD.  The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-13998	The authors have declared that no competing interests exist.	This work was supported by NIH/NINDS grant: U01NS069545.
PONE-D-15-14015	The authors have declared that no competing interests exist	"This work was supported by: NIH R21HD060944 (AJP and SEA), and the VRC grant RR019963 (currently OD010965). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-14021	The authors have declared that no competing interests exist.	"This work was entirely supported by internal funds of the Department of Anesthesiology, Stony Brook University School of Medicine."
PONE-D-15-14040	"The authors have read the journal's policy and the authors of this manuscript have the following competing interests: Lindsay Rouse and Susanne Marschner are employees of Terumo BCT, Inc., who funded this study. Terumo BCT, Inc. holds the following U.S. patents related to pathogen reduction technology: 6258577, 6268120, 6277337, 6548241, 6828323, 843961, 7049110, 7077559, 7094378, 7183045, 7186543, 7220747, 7498156, 7648699, 7829867, 7892535, 7901673, 7985588, 8017110, 8044051, 8048055, 8296071, 8339592, 8679736, 8759092, 8940228. This does not alter the authors' adherence to PLOS ONE policies on sharing data and materials."	"This study was funded by Terumo BCT, Inc. Lindsay Rouse and Susanne Marschner are employees of Terumo BCT, Inc. Terumo BCT, Inc. provided support in the form of salaries for authors LR and SM but did not have any additional role in the study design, data collection and analysis, decision to publish, or preparation of the manuscript. The specific roles of these authors are articulated in the ‘author contributions’ section."
PONE-D-15-14051	The authors have declared that no competing interests exist.	This work was supported by grants from the Natural Science Foundation of Jiangsu Province (No.BK20140170) (http://www.jstd.gov.cn/) and the Wuxi Science and Technology Bureau (CSE31N1316) (http://www.wxstc.js.cn/).
PONE-D-15-14100	The authors have declared that no competing interests exist.	"This work was supported by AGL2011-29639 (co-funded with FEDER funds), and Consolider-Ingenio Programs CSD2009-00006 and CSD2007-00002 from MICINN of Spanish Government. Grant support to Agnès Callol (BES-2009-024776, MICINN) and Felipe E. Reyes-López (BCH 4311/2013, CONICYT) are thankfully acknowledged."
PONE-D-15-14108	The authors have declared that no competing interests exist.	"Funding was provided by the Norwegian Health Association, Helse Sør-Øst Regional Health Authority (http://www.nasjonalforeningen.no/), grant number 6680, to YD and LEV. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-14121	The authors have declared that no competing interests exist.	"This paper was supported in part by the Korea Basic Science Institute (KBSI) Grant No. E35436 and E35600 and the Basic Science Research program through the National Research Foundation of Korea (NRF) funded by the Ministry of Science, ICT & Future Planning (2015R1C1A1A02036988). "
PONE-D-15-14123	The authors have read the journal's policy and have declared that no competing interests exist.	"This research was funded by National Natural Science Foundation of China. The author Chun Jiang Yu received the funding. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-14136	The authors have declared that no competing interests exist.	"This work was financially supported by research grants from The Danish Agriculture & Food Council, “Svineafgiftsfonden� (grant number: 132337) received by MS; The Danish Foundation “TrygFonden� (grant number: 7-11-1210) received by MS; and The Danish Foundation “Fionia Fond� (no grant number) received by KH. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.  "
PONE-D-15-14138	The authors have declared that no competing interests exist.	This study was supported by grant #RC14C Italian Department of Health and by grant #GR GR-2010-2316475 Italian Department of Health.
PONE-D-15-14140	The authors have declared that no competing interests exist.	"This research was supported by the Special Fund for Agro-scientific Research in the Public Interest (No. 201303042), the National Natural Science Foundation of China (No. 31172309), and the Special Cooperation Funds for Science and Technology of Hainan Province (No. KJHZ2015-31)."
PONE-D-15-14141	The authors have declared that no competing interests exist.	"This work was supported by PRIN (Progetti di Ricerca di Interesse Nazionele) (20092BE97Y_005), and Fondazione Cassa di Risparmio di Perugia (2011.0184.021 and 2011.0099.021) to RR and IB. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-14158	"Here the authors state that Dairy Research Institute Ltd provided support in the form of providing research material, but did not have any additional role in the study design, data collection and analysis, decision to publish, or preparation of the manuscript. Furthermore, none of the funding bodies had any role in study design, data collection and analysis, decision to publish, or preparation of the manuscript. The fact that the authors' work was funded by several funding bodies and one of the authors is employed by a commercial company does not alter the authors' adherence to PLOS ONE policies on sharing data and material."	"Supported by grants 303/09/0449 and P303/12/0535 of the Czech Science Foundation, grants CZ.3.22/2.1.00/09.01574 and CZ.3.22/2.1.00/13.03892, OeAD-GmbH grant CZ 15/2015 and grant SFB F46 from Austrian Science Fund. The financial support of internal grant FCH-S- 14-2325 is gratefully acknowledged. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-14169	The authors have declared that no competing interests exist.	"This work was supported by FNRS grant 31003A-130821/1 and 310030B-148169/1, by the National Center of Competence in Research (NCCR) “SYNAPSY� (n° 51AU40-125759) and by the Panacée and Biaggi Foundations. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-14203	"Authors VRP, AI, and YAD report no conflicts of interest. TM reports a single conflict of interest, being a consultant/advisory board member of Renascience Co. Ltd. This does not alter the authors' adherence to PLOS ONE policies on sharing data and materials."	This work was supported by NIH 5 R01 CA 129377 to YAD and VRP.
PONE-D-15-14216	The authors have declared that no competing interests exist. 	"This work was supported by Bundesministerium für Bildung unf Forschung BMBF 01GI0204 (http://www.gesundheitsforschung-bmbf.de/de/345.php), and European Union FP7-Health-F2-2010-261057 (http://www.eutraf.eu/). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-14217	The authors have declared that no competing interests exist.	"This work was funded through a grant from the National Oceanic and Atmospheric Administration (NOAA) Fisheries Marine Fisheries Initiative (MARFIN) program (grant number NOAA-NMFS-SE-2010-2001772) to SPP. The funders had no role in the study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-14220	The authors have declared that no competing interests exist.	"Funding was provided by Fundação de Amparo à Pesquisa do Estado de Minas Gerais (FAPEMIG), Conselho Nacional de Desenvolvimento Científico e Tecnológico (CNPq) and Coordenação de Aperfeiçoamento de Pessoal de Nível Superior (CAPES). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-14267	The authors have declared that no competing interests exist.	"This work was supported by Knowledge Cluster programs from The Ministry of Education, Culture, Sports, Science, and Technology."
PONE-D-15-14280	The authors have declared that no competing interests exist.	"The study was fully supported by Defence Research and Development Organization (DRDO), project no. DIP-251, Ministry of Defence, Government of India."
PONE-D-15-14282	The authors have declared that no competing interests exist.	"This work was supported by grant funding from the Ministry of Science and Technology of China (http://www.most.gov.cn. 2013ZX09507001) to ML; the National Natural Science Foundation of China (http://isisn.nsfc.gov.cn. 31271468) to HC; and the Science and Technology Commission of Shanghai Municipality (http://www.stcsm.gov.cn. 12ZR1408700) to HC. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-14298	The authors have declared that no competing interests exist.	"This work was supported by Consolider-Ingenio program (Ministerio de Educacion, Spain) to G.L-R (http://www.mecd.gob.es/educacion-mecd/  ACOM2010/133); Generalitat Valenciana to G.L.-R (http://www.cece.gva.es/es/); Prometeo 2013/2014 (Generalitat Valenciana) to L.F. (http://www.cece.gva.es/es/). "
PONE-D-15-14333	The authors have declared that no competing interests exist.	"This work was aided by grants R01 CA119078 and R01 CA133117 from the US National Institutes of Health to LD, by a gift from the Ovarian Cancer Coalition of Greater California to LD, and by funds from Eve Appeal to MW. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-14337	"Co-author Won-Jung Koh is employed by Samsung Medical Center. There are no patents, products in development, or marketed products to declare. This does not alter the authors’ adherence to all the PLOS ONE policies on sharing data and materials.   "	"This work was supported by a grant of the Korean Health Technology R&D Project, Ministry for Health & Welfare, Republic of Korea (A120647) and the Basic Science Research Program through the Ministry of Science, ICT, and Future Planning (NRF- 2013R1A2A1A01009932). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript. Samsung Medical Center provided support in the form of salary for the author Won-Jung Koh, but did not have any additional role in the study design, data collection and analysis, decision to publish, or preparation of the manuscript. The specific role of this author is articulated in the ‘author contributions’ section.   "
PONE-D-15-14338	The authors have declared that no competing interests exist. 	"This project was supported by USC 1233 and by WildTech Project WP6, Epidemiology and Risk Assessment, which is supported by the European Commission under the Food, Agriculture and Fisheries and Biotechnology theme of the Seventh Framework Programme for Research and Technological Development (grant number 222633). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-14373	The authors have declared that no competing interests exist	This research was supported by the Israel Science Foundation (grant No. 1593/10)
PONE-D-15-14389	The authors have declared that no competing interests exist.	This study was supported by a grant from the Beijing municipal government (201202910411136).
PONE-D-15-14401	The authors have declared that no competing interests exist.	"This work was supported by the grants from the National Natural Science Foundation of China (30873117, http://www.nsfc.gov.cn/, CJZ), and the Major Scientific and Technological Special Project for “Significant New Drugs Creation� (http://www.most.gov.cn/; 2009ZX09501-018, CJZ, XMY; 2009ZX09301-003-51, CJZ, YL; 2012ZX09301-002-001-002, CJZ). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-14403	The authors have declared that no competing interests exist.	"This study was supported by the National Institutes of Health grant (RHL092124A to D. K), by the National Institutes of Health postdoctoral fellowship (T32HL07260 to K.S.), and predoctoral fellowships, T32HL07260, and 2014 UNCF/Merck Graduate Science Research Dissertation Fellowship to D.L.P. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-14410	The authors have declared that no competing interests exist. 	This work is supported by National Cancer Institute (NCI) intramural funding ZO1 SC 004020.
PONE-D-15-14416	The authors have declared that no competing interests exist.	"This work was supported by National Institutes of Health/National Eye Institute (https://www.nei.nih.gov/, R01 EY022275, R01 EY017017, P01 HD18655), Lowy Medical Research Institute (http://www.lmri.net/), European Commission FP7 (http://cordis.europa.eu/fp7/home_en.html) project 305485 PREVENT-ROP (LEHS), National Institutes of Health/National Eye Institute (https://www.nei.nih.gov/, R01 EY024963, JC), Ministry of Science and Technology, Taiwan, R.O.C. (http://www.most.gov.tw/mp.aspx?mp=7) Postdoctoral Research Abroad Program (104-2917-I-564-026, CHL), and China Scholarship Council (http://en.csc.edu.cn/) State Scholarship Fund (201306240082, JL). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-14421	The authors have declared that no competing interests exist.	"This work was supported by Touro University Seed Grant to AAM and CSB. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-14423	The authors have declared that no competing interests exist.	"Funding for this project was provided by the National Science Foundation (MRI DBI-0922988), the Ohio Board of Regents, the Ohio University Office of the Vice President for Research and the Ohio University Heritage College of Osteopathic Medicine Research and Scholarly Affairs Committee (to SHW). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-14429	The authors have declared that no competing interests exist.	"This study was supported by the US National Institutes of Health SC1HL101431 (HY). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-14431	The authors have declared that no competing interests exist.	"Part of this work was financially supported by the European Union through the Interreg IV program of Grensregio Vlaanderen-Nederland to Euregional PACT II (VLA-NED 1.20). The remaining of the funding is provided by Maastricht University directly to Prof. Chris Reutelingsperger. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-14457	The authors have declared that no competing interests exist.	"Genetically Modified Organisms Breeding Major Projects (2009ZX08006-007B) to XXS, http://www.moa.gov.cn/; China Postdoctoral Science Foundation (2014M551943) to YJH, http://bg.chinapostdoctor.org.cn/; the special foundation of Postdoctoral Innovation Project in Shandong Province of China (201402044) to YJH, http://www.sdhrss.gov.cn/cm/. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-14466	The authors have declared that no competing interests exist.	"The funding of Key Program of Transgenic Plant Breeding (2011ZX08011005,2014ZX08011005), affiliating to National institute for nutrition and food safety, Chinese center for disease control and prevention（XY）played a role in study design and data collection. The funding of Hubei Province’s Outstanding Medical Academic Leader Program, affiliating to Hubei Provincial Key Laboratory for Applied Toxicology, Hubei provincial center for disease control and prevention (BF JL), played a role in data analysis and decision to publish. The funding of Scientific Research Project of Zhejiang Chinese Medical University (711200E013,712223A06001/005/015), affiliating to College of Basic Medical Science, Zhejiang Chinese Medical School, played a role in preparation of the manuscript."
PONE-D-15-14489	The authors have declared that no competing interests exist.	The authors have no funding or support to report. 
PONE-D-15-14515	The authors have declared that no competing interests exist.	"The work was supported by the following: 1. MSK : grant (50541-2014) from the Ministry of Science, ICT and Future Planning, Republic of Korea (http://www.msip.go.kr); and 2. HH : National Research Foundation grants (2012R1A2A1A0300692) funded by Korean Ministry of Education, Science, and Technology. (http://www.nrf.re.kr)."
PONE-D-15-14526	The authors have declared that no competing interests exist.	"The authors thank the Council of Scientific and Industrial Research (CSIR) and Indian Council of Medical Research (ICMR), New Delhi for financial support in the form of research fellowships to JG, SM and MP and CSIR Network project SPlenDID. The funders have no role in study design, data collection, analysis and decision to publish or preparation of the manuscript."
PONE-D-15-14533	"None of the authors has conflicts of interest or financial disclosures in the development of the present precompetitive basic neurophysiological research, which was based on EEG recordings in freely behaving mouse lemurs receiving no (pharmacological or non-pharmacological) intervention.  This is true also for the following co-Authors: Dr. Yves Lamberty, Jill Richardson and Wilhelmus Drinkenburg, who are affiliated to UCB Pharma, Glaxo SmithKline and Janssen Pharmaceutica, respectively.  Their position to the mentioned companies does not alter the authors' adherence to the PLOS ONE policies on sharing data and materials."	"The activity leading to the present study has received funding from the Seventh Framework Programme of European Community (FP7/2007-2013) for the Innovative Medicine Initiative under Grant Agreement No. 115009 (www.pharmacog.org) (title of the project: “Prediction of cognitive properties of new drug candidates for neurodegenerative diseases in early clinical development�; acronym: PharmaCog).  The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-14541	The authors have declared that no competing interests exist.	"The study was funded by the Royal Society to JA-S, the European Union (Latin America/European Liason, LAEL) to FJB and APG, and the Sigrid Juselius Foundation to TA. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-14592	The authors have declared that no competing interests exist.	"Funding was provided by Basque Government IT 773/13 and BFI-2011-129. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-14603	The authors have declared that no competing interests exist.	"This work was supported by NIH/NIDCR grant R01-DE18914. The NIH had no role in the study design, data collection and analysis, decision to publish, or preparation of this manuscript."
PONE-D-15-14608	The authors have declared that no competing interests exist.	"This study was supported in whole or in part with federal funds from the NIH, National Institute of Allergy and Infectious Diseases and Department of Health and Human Services under the contract No.HHSN266200700007C and COLCIENCIAS: Departamento Administrativo de Ciencia, Tecnología e Innovación. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-14609	The authors have declared that no competing interests exist.	"The project described was supported by the University of Arkansas for Medical Sciences Translational Research Institute (TRI), grants UL1TR000039 and KL2TR000063 through the NIH National Center for Research Resources, and the National Center for Advancing Translational Sciences. The content is solely the responsibility of the authors and does not necessarily represent the official views of the NIH. This material is based upon work supported in part by the VA Merit Review Grant (SVS), Department of Veterans Affairs, Veterans Health Administration, Office of Research and Development."
PONE-D-15-14615	The authors have declared that no competing interests exist.	"National Institutes on Aging Grant AG05604 (AY RAN MVR).  The United Kingdom Medical Research Council and the Wellcome Trust (CCJM).  The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-14622	The authors have declared that no competng interest exist. 	"This study was supported by the Rural Development Administration (PJ00897), BK21 PLUS and the Research Institute for Veterinary Science, Seoul National University, South Korea."
PONE-D-15-14633	The authors have declared that no competing interests exist.	"This study was supported in part by a Grant-in-Aid for Scientific Research C-24592616 (M.N.) and a Grant-in-Aid for Young Investigators B-25861611 (T.O.) from the Japan Society for the Promotion of Science (Tokyo, Japan)."
PONE-D-15-14639	The authors have declared that no competing interests exist.	"This Study was funded by The Consejo Nacional de Ciencia y Tecnología (CONACYT), Mexico City. Grant Number: CB-2013-01 222193 (www.conacyt.mx). Authors who received the funding: MAMR MDCCA. The Founder CONACYT had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-14687	The authors have declared that no competing interests exist.	"This work was supported by a research fund (SFF 701301765) from the Heinrich-Heine-University Duesseldorf, Germany."
PONE-D-15-14699	The authors have declared that no competing interests exist.	"This work was supported by grants from Pró-Reitoria de Pesquisa from UFMG (Edital 01/2014), Instituto Nacional de Ciência e Tecnologia em Nanobiofarmacêutica (INCT-Nanobiofar), FAPEMIG (CBB-APQ-00819-12), and CNPq (APQ-472090/2011-9, APQ-482976/2012-8, APQ-488237/2013-0). MACF is a grant recipient of FAPEMIG/CAPES. EAFC, APF and SMRT are grant recipient of CNPq. This study was also, in part, supported in Spain by grants from Ministerio de Ciencia e Innovación (FIS PI14/00366). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-14707	The authors have declared that no competing interests exist.	"Takashi Ueta received fundings from Grants-in-Aid for Scientific Research from Japan Society for the Promotion of Science (26861437), Nakayama Foundation for Human Science (http://nakayamashoten.jp/wordpress/zaidan/feed/?post_type=post), and Mitsui Sumitomo Insurance Welfare Foundation (http://www.kousei-zigyodan.or.jp/index.html). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-14709	The authors have declared that no competing interests exist.	"This work was supported by NIH/NIAID grants AI105170 (SMK), AI093772 (SMK), and AI119366 (SMK). The funders had no role in the study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-14720	The authors have declared that no competing interests exist.	"This study was supported by grants from the Iran National Science Foundation (INSF) and Faculty of Medical Sciences, Tarbiat Modares University, Tehran, Iran. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-14750	The authors have declared that no competing interests exist.	"Funding from the The Romanian Ministry of Education and Research (http://www.research.ro/, grant PN09-440213) is gratefully acknowledged by VAT, ADF, IR, DH. FS thanks the “Babes-Bolyai� University for financial support via the Sectoral Operational Programme for Human Resources Development 2007-2013, co-financed by the European Social Fund, under the project POSDRU/159/1.5/S/132400 with the title “Young successful researchers – professional development in an international and interdisciplinary environment.�"
PONE-D-15-14784	This work was performed as the collaborative research project of Korea Institute Oriental Medicine (KIOM) and Kolmar BNH. The authors have declared that no competing interests exist.	"This research was in part supported by the grant K15280 awarded to J. Y. Ma of Korea Institute Oriental Medicine (KIOM) and Innopolis Foundation (Project No. 1711008676 (A2013DD103)) awarded to H. K. Kim of Kolmar BNH from the Ministry of Science, ICT and Future Planning (MISP), Korea. Authors have an additional role in the study design, data collection and analysis, decision to publish, or preparation of the manuscript. The specific roles of these authors are articulated in the ‘author contributions’ section."
PONE-D-15-14789	The authors have declared that no competing interests exist.	This research was supported by the Basic Science Research Program through the National Research Foundation of Korea (NRF) funded by the Ministry of Education (NRF-2014R1A6A3A04057492). Y. H was supported by a grant (HCRI14006-1) from Chonnam National University Hwasun Hospital Institute for Biomedical Science.   
PONE-D-15-14813	The authors have declared that no competing interests exist.	"The work was supported by National Nature Science Foundation of China (31100649, http://www.nsfc.gov.cn/, S.Y) and Scientific Innovation Research of College Graduate in Jiangsu Province (CXZZ12-0091, http://www.ec.js.edu.cn/, L.D). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-14816	The authors have declared that no competing interests exist.	"This work was supported by South Central Veterans Administration Healthcare Network pilot project grant (VISN-16); and Gatorade research fund, University of Florida, DoM."
